batsman,batsman_runs
V Kohli,5878
SK Raina,5368
DA Warner,5254
RG Sharma,5230
S Dhawan,5197
AB de Villiers,4849
CH Gayle,4772
MS Dhoni,4632
RV Uthappa,4607
G Gambhir,4217
AM Rahane,3933
SR Watson,3874
KD Karthik,3823
AT Rayudu,3659
MK Pandey,3268
YK Pathan,3204
KA Pollard,3023
BB McCullum,2880
PA Patel,2848
Yuvraj Singh,2750
